# na=200 ne=200 amin=0.05 amax=1 emin=0 emax=0.95
# dt_days=5 t_years=10 seed=42 integrator=whfast_jacobi
a_init,e_init,da_over_a
0.05477386935,0.8879396985,2.2106106445883526e-13
0.05477386935,0.8927135678,1.9391299218747230e-12
0.05477386935,0.8974874372,8.6777552523955389e-14
0.05477386935,0.9022613065,7.9569314949337784e-13
0.05477386935,0.9070351759,-3.6788614967819919e-13
0.05477386935,0.9118090452,-2.8903892531190749e-12
0.05477386935,0.9165829146,-4.9225041728807807e-12
0.05477386935,0.9213567839,1.1347970218964782e-11
0.05477386935,0.9261306533,-1.0526180462435003e-11
0.05477386935,0.9309045226,7.2283801014078404e-12
0.05477386935,0.935678392,7.0554584091520755e-12
0.05477386935,0.9404522613,1.2555635048469697e-11
0.05477386935,0.9452261307,1.9816952615069111e-12
0.05477386935,0.95,1.9180879489196442e-11
0.05954773869,0,6.3856561857290385e-14
0.05954773869,0.004773869347,-1.9424979674471362e-13
0.05954773869,0.009547738693,2.7034164873889357e-13
0.05954773869,0.01432160804,-2.6952596272976760e-13
0.05954773869,0.01909547739,-3.1648617154087715e-13
0.05954773869,0.02386934673,4.6435839233814268e-13
0.05954773869,0.02864321608,-1.3563693066037591e-13
0.05954773869,0.03341708543,6.8459361480215510e-13
0.05954773869,0.03819095477,-2.5158087052899622e-13
0.05954773869,0.04296482412,1.2887838944190358e-13
0.05954773869,0.04773869347,-1.7362459337109977e-14
0.05954773869,0.05251256281,-1.5299938999748589e-13
0.05954773869,0.05728643216,-8.8443668703801816e-14
0.05954773869,0.06206030151,-2.7861503540288560e-13
0.05954773869,0.06683417085,-5.2436957729526771e-14
0.05954773869,0.0716080402,-5.0922112284007108e-14
0.05954773869,0.07638190955,2.1242794209094957e-13
0.05954773869,0.08115577889,1.8830694153536725e-13
0.05954773869,0.08592964824,9.6017895931400130e-14
0.05954773869,0.09070351759,4.0667773883566316e-14
0.05954773869,0.09547738693,3.7871136137991560e-13
0.05954773869,0.1002512563,-1.3540387751491136e-13
0.05954773869,0.1050251256,-2.5111476423806712e-13
0.05954773869,0.109798995,1.6733215844355655e-13
0.05954773869,0.1145728643,-6.9915943639369031e-15
0.05954773869,0.1193467337,-3.6367943349745124e-13
0.05954773869,0.124120603,5.5536564564205468e-13
0.05954773869,0.1288944724,3.7766262222532505e-13
